"year","crop","area","production","yield","prop_area"
1964,"Sesame seed",2486,484,0.1947,0.0159515248175504
1964,"Sorghum",18056,9683,0.5363,0.115857092560616
1964,"Soybean",18,8,0.4444,0.000115497766176954
1964,"Spices, nes",257,206,0.8016,0.00164905143930429
1964,"Sugarcane",2249,104225.008,46.3428,0.0144308042295539
1964,"Sweet potatoes",130,855,6.5769,0.000834150533500223
1964,"Tea",341.762,372.486,1.0899,0.00219293042023156
1964,"Tobacco, unmanufactured",441,360,0.8163,0.00282969527133537
1964,"Tomatoes",55,510,9.2727,0.000352909841096248
1964,"Vegetables, fresh nes",2030,13600,6.6995,0.0130255814077343
1964,"Walnuts, with shell",16,14,0.875,0.000102664681046181
1964,"Watermelons",7.5,80,10.6667,4.81240692403975e-05
1964,"Wheat",13499,9853,0.7299,0.0866169080901501
1965,"Anise, badian, fennel, coriander",100,50,0.5,0.00064811871035628
1965,"Apples",21.7,90,4.1475,0.000140641760147313
1965,"Apricots",3,9.2,3.0667,1.94435613106884e-05
1965,"Areca nuts",131,113,0.8626,0.000849035510566727
1965,"Bananas",211,3271,15.5024,0.00136753047885175
1965,"Barley",2682,2521,0.94,0.0173825438117554
1965,"Bastfibres, other",526,290.78,0.5528,0.00340910441647403
1965,"Beans, dry",7088.4,1701.7,0.2401,0.0459412466648945
1965,"Beans, green",88,210,2.3864,0.000570344465113526
1965,"Berries nes",NA,1,NA,NA
1965,"Cabbages and other brassicas",25,325,13,0.00016202967758907
1965,"Carrots and turnips",10,85,8.5,6.4811871035628e-05
1965,"Cashew nuts, with shell",230,100,0.4348,0.00149067303381944
1965,"Cassava",240,3033,12.6375,0.00155548490485507
1965,"Castor",405,79.8,0.197,0.00262488077694293
1965,"Cauliflowers and broccoli",50,520,10.4,0.00032405935517814
1965,"Cherries",1.35,3.4,2.5185,8.74960258980978e-06
1965,"Chickpea",8870,5777,0.6513,0.057488129608602
1965,"Chillies and peppers, dry",634,364,0.5741,0.00410907262365881
1965,"Chillies and peppers, green",3.2,19.2,6,2.0739798731401e-05
1965,"Cocoa, beans",NA,NA,NA,NA
1965,"Coconuts",884,3741.005,4.2319,0.00572936939954951
1965,"Coffee, green",122,60.9,0.4992,0.000790704826634661
1965,"Coir",NA,187,NA,NA
1965,"Cotton",7943,3116,0.3923,0.0514800691635993
1965,"Cucumbers and gherkins",7.2,38,5.2778,4.66645471456521e-05
